Country_code,Country,Year_decision,Year_first_decision,Year_target,Target_minimum,Target_maximum,Target_average,Target_consistent,Unit,Target_type,RE_technology,Miscellaneous,Source,added_in_version,change_reason,status,status_changed_in_version
ARG,Argentina,2017,2009,2018,,8.0,8.0,8.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2019,,9.0,9.0,9.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2021,,16.0,16.0,16.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2023,,18.0,18.0,18.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2018,2009,2019,,12.0,12.0,12.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/05/gsr_2019_full_report_en.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2020,2009,2030,,26.0,26.0,26.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2023,2023,2025,,20.0,20.0,20.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARM,Armenia,2016,2016,2025,,40.0,40.0,40.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARM,Armenia,2020,2016,2020,,21.0,21.0,21.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARM,Armenia,2020,2016,2025,,30.0,30.0,30.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARM,Armenia,2021,2016,2036,,28.0,28.0,28.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARM,Armenia,2023,2023,2030,,15.0,15.0,15.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,V3,New non-EU-27 observation added in V3,active,V3
AUS,Australia,2001,2001,2010,,2.0,2.0,2.0,Percent,Electricity ,All technologies ,,"https://cer.gov.au/schemes/renewable-energy-target#:~:text=2001%3A%20The%20RET%20began%20as,Australia's%20electricity%20(41%2C000%20GWh).",V3,New non-EU-27 observation added in V3,active,V3
AUS,Australia,2012,2001,2020,,20.0,20.0,20.0,Percent,Electricity ,All technologies ,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
AUS,Australia,2015,2001,2020,,23.0,23.0,23.0,Percent,Electricity ,All technologies ,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
AUS,Australia,2022,2001,2030,,82.0,82.0,82.0,Percent,Electricity ,All technologies ,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,V3,New non-EU-27 observation added in V3,active,V3
AUT,Austria,2001,2001,2010,,78.1,78.1,78.1,Percent,Electricity ,All technologies ,,https://www.iea.org/policies/3769-green-electricity-act,V1,,active,V1
AUT,Austria,2013,2001,2020,,70.6,70.6,70.6,Percent,Electricity ,All technologies ,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2014_Full-Report_English.pdf,V1,,active,V1
AUT,Austria,2019,2001,2030,,87.0,87.0,87.0,Percent,Electricity ,All technologies ,,https://ember-energy.org/data/live-eu-necp-tracker/#data-tool,V1,,active,V1
