Country_code;Year_decision;Country;Country_short;Region;Income_group;Year_first_decision;Year_target;Year_latest_target;Target_minimum;Target_maximum;Target_average;Unit;Target_type;RE_technology;Target_consistent;Miscellaneous;Source;Note.changes;added_in_version;change_reason;status;status_changed_in_version
ARG;2017;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2009;2019;2030;NA;9;9;Percent;Electricity;All technologies;9;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;should be all tech;V3;New non-EU-27 observation added in V3;active;V3
ARG;2017;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2009;2021;2030;NA;16;16;Percent;Electricity;All technologies;16;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;should be all tech;V3;New non-EU-27 observation added in V3;active;V3
ARG;2017;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2009;2018;2030;NA;8;8;Percent;Electricity;All technologies;8;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;should be all tech;V3;New non-EU-27 observation added in V3;active;V3
ARG;2018;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2009;2019;2030;NA;12;12;Percent;Electricity;All technologies;12;;https://www.ren21.net/wp-content/uploads/2019/05/gsr_2019_full_report_en.pdf;should be all tech;V3;New non-EU-27 observation added in V3;active;V3
ARG;2020;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2009;2030;2030;NA;26;26;Percent;Electricity;All technologies;26;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;The target should include hydro. also targets from 2021 and 2025 is missing;V3;New non-EU-27 observation added in V3;active;V3
ARG;2023;Argentina;Argentina;Latin America & Caribbean;Upper middle income;2023;2025;2025;NA;20;20;Percent;Final energy;All technologies;20;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ARM;2016;Armenia;Armenia;Europe & Central Asia;Upper middle income;2016;2025;2036;NA;40;40;Percent;Electricity;All technologies;40;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ARM;2020;Armenia;Armenia;Europe & Central Asia;Upper middle income;2016;2025;2036;NA;30;30;Percent;Electricity;All technologies;30;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ARM;2020;Armenia;Armenia;Europe & Central Asia;Upper middle income;2016;2020;2036;NA;21;21;Percent;Electricity;All technologies;21;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ARM;2021;Armenia;Armenia;Europe & Central Asia;Upper middle income;2016;2036;2036;NA;28;28;Percent;Electricity;All technologies;28;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ARM;2023;Armenia;Armenia;Europe & Central Asia;Upper middle income;2023;2030;2030;NA;15;15;Percent;Final energy;All technologies;15;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2012;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2012;2015;2030;NA;5;5;Percent;Electricity;All technologies;5;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2012;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2012;2020;2030;NA;10;10;Percent;Electricity;All technologies;10;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2012;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2012;2030;2030;NA;15;15;Percent;Electricity;All technologies;15;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2015;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2012;2016;2030;NA;8;8;Percent;Electricity;All technologies;8;;https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2020;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2020;2030;2030;NA;15;15;Percent;Final energy;All technologies;15;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ATG;2021;Antigua and Barbuda;Antigua&Barbuda;Latin America & Caribbean;High income;2012;2030;2030;NA;100;100;Percent;Electricity;All technologies;100;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AUS;2001;Australia;Australia;East Asia & Pacific;High income;2001;2010;2030;NA;2;2;Percent;Electricity;All technologies;2;;https://cer.gov.au/schemes/renewable-energy-target#:~:text=2001%3A%20The%20RET%20began%20as,Australia's%20electricity%20(41%2C000%20GWh).;;V3;New non-EU-27 observation added in V3;active;V3
AUS;2012;Australia;Australia;East Asia & Pacific;High income;2001;2020;2030;NA;20;20;Percent;Electricity;All technologies;20;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AUS;2015;Australia;Australia;East Asia & Pacific;High income;2001;2020;2030;NA;23;23;Percent;Electricity;All technologies;23;;https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AUS;2022;Australia;Australia;East Asia & Pacific;High income;2001;2030;2030;NA;82;82;Percent;Electricity;All technologies;82;;https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AUT;2001;Austria;Austria;Europe & Central Asia;High income;2001;2010;2030;NA;78;78;Percent;Electricity;All technologies;78;;https://www.iea.org/policies/3769-green-electricity-act;;V1;;active;V1
AUT;2006;Austria;Austria;Europe & Central Asia;High income;2006;2020;2030;NA;34;34;Percent;Final energy;All technologies;34;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2007_Full-Report_English.pdf;;V1;;active;V1
AUT;2011;Austria;Austria;Europe & Central Asia;High income;2006;2020;2030;NA;45;45;Percent;Final energy;All technologies;45;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2012_Full-Report_English.pdf;;V1;;active;V1
AUT;2013;Austria;Austria;Europe & Central Asia;High income;2001;2020;2030;NA;71;71;Percent;Electricity;All technologies;71;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2014_Full-Report_English.pdf;;V1;;active;V1
AUT;2019;Austria;Austria;Europe & Central Asia;High income;2001;2030;2030;NA;87;87;Percent;Electricity;All technologies;87;;https://ember-energy.org/data/live-eu-necp-tracker/#data-tool;;V1;;active;V1
AUT;2020;Austria;Austria;Europe & Central Asia;High income;2006;2030;2030;46;50;48;Percent;Final energy;All technologies;48;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V1;;active;V1
AUT;2023;Austria;Austria;Europe & Central Asia;High income;2001;2030;2030;NA;94;94;Percent;Electricity;All technologies;94;;https://ember-energy.org/data/live-eu-necp-tracker/#data-tool;;V1;;active;V1
