ISO_code,Country,Year_decision,Year_first_decision,Year_target,Year_base,Target_minimum,Target_maximum,Target_consistent,Target_unit,Conditionality,Target_type,Miscellaneous,Source
ROU,Romania,2016,1997,2020,1990,,-20,-20,Percent,Unconditional,Baseline,,https://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/rou_2016_v1_0_formatted_(2).pdf
ROU,Romania,2018,1997,2030,2005,,-2,-43.7,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
ROU,Romania,2020,1997,2030,2005,,-2,-43.7,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020_0.pdf
ROU,Romania,2023,1997,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,"https://climate-laws.org/documents/romania-s-long-term-strategy-for-reducing-greenhouse-gas-emissions_428e?id=romania-s-long-term-strategy-for-reducing-greenhouse-gas-emissions_bb49
 Summary: https://climate-laws.org/document/romania-s-long-term-strategy-for-reducing-greenhouse-gas-emissions_bb49"
ROU,Romania,2023,1997,2030,2005,,-12.7,-49.8,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
SVK,Slovakia,1997,1997,2012,1990,,-8,-8,Percent,Unconditional,Baseline,,https://www.eea.europa.eu/publications/progress-towards-kyoto
SVK,Slovakia,2018,1997,2030,2005,,-12,-38.9,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
SVK,Slovakia,2019,1997,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,https://climate-laws.org/document/slovakia-s-integrated-national-energy-and-climate-plan-for-2021-to-2030_2cbc?q=ghg+targets&l=slovakia
SVK,Slovakia,2019,1997,2030,2005,,-20,-44.5,Percent,Unconditional,Baseline,,https://climate-laws.org/document/slovakia-s-integrated-national-energy-and-climate-plan-for-2021-to-2030_2cbc?q=ghg+targets&l=slovakia
SVK,Slovakia,2023,1997,2030,2005,,-22.7,-46.3,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
SVN,Slovenia,1997,1997,2012,1990,,-8,-8,Percent,Unconditional,Baseline,,https://www.eea.europa.eu/publications/progress-towards-kyoto
SVN,Slovenia,2018,1997,2030,2005,,-15,-6.6,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
SVN,Slovenia,2020,1997,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,https://climate-laws.org/document/slovenia-s-integrated-national-energy-and-climate-plan_b2b7?q=ghg+targets&l=slovenia
SVN,Slovenia,2023,1997,2030,2005,,-27,-19.8,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
SWE,Sweden,1997,1997,2012,1990,,4,4,Percent,Unconditional,Baseline,,https://www.eea.europa.eu/publications/progress-towards-kyoto
SWE,Sweden,2018,1997,2030,2005,,-40,-43.3,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
SWE,Sweden,2020,1997,2045,1990,,-100,-100,Percent,Unconditional,Baseline,,https://climate-laws.org/document/swedens-integrated-national-energy-and-climate-plan_59da?q=ghg+targets&l=sweden
SWE,Sweden,2020,1997,2030,2005,,-20,-24.4,Percent,Unconditional,Baseline,,https://climate-laws.org/document/swedens-integrated-national-energy-and-climate-plan_59da?q=ghg+targets&l=sweden
SWE,Sweden,2023,1997,2030,2005,,-50,-52.8,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
